"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 24 22:57:35 GMT 2023","Mon Apr 24 22:57:40 GMT 2023","5142","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginEmpty",""
"broken","Mon Apr 24 22:57:24 GMT 2023","Mon Apr 24 22:57:34 GMT 2023","10352","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_logOut",""
"broken","Mon Apr 24 22:58:46 GMT 2023","Mon Apr 24 22:58:52 GMT 2023","5248","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_importCsv",""
"passed","Mon Apr 24 22:57:16 GMT 2023","Mon Apr 24 22:57:21 GMT 2023","5407","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regBadEmail",""
"broken","Mon Apr 24 22:59:04 GMT 2023","Mon Apr 24 22:59:11 GMT 2023","6299","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_nameModifie",""
"passed","Mon Apr 24 22:57:09 GMT 2023","Mon Apr 24 22:57:15 GMT 2023","5134","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regEmpty",""
"broken","Mon Apr 24 22:58:35 GMT 2023","Mon Apr 24 22:58:45 GMT 2023","10354","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentDelete",""
"broken","Mon Apr 24 22:58:11 GMT 2023","Mon Apr 24 22:58:21 GMT 2023","10357","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleCreate",""
"passed","Mon Apr 24 22:57:22 GMT 2023","Mon Apr 24 22:57:22 GMT 2023","267","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginRight",""
"broken","Mon Apr 24 22:58:22 GMT 2023","Mon Apr 24 22:58:27 GMT 2023","5261","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleDelete",""
"broken","Mon Apr 24 22:57:59 GMT 2023","Mon Apr 24 22:58:10 GMT 2023","10357","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tags",""
"broken","Mon Apr 24 22:58:53 GMT 2023","Mon Apr 24 22:59:03 GMT 2023","10324","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tag2Csv",""
"passed","Mon Apr 24 22:56:59 GMT 2023","Mon Apr 24 22:57:05 GMT 2023","5249","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_cookies",""
"passed","Mon Apr 24 22:57:41 GMT 2023","Mon Apr 24 22:57:47 GMT 2023","5265","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginBadPass",""
"passed","Mon Apr 24 22:57:06 GMT 2023","Mon Apr 24 22:57:08 GMT 2023","2427","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regRight",""
"broken","Mon Apr 24 22:58:29 GMT 2023","Mon Apr 24 22:58:34 GMT 2023","5266","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentCreate",""
"broken","Mon Apr 24 22:57:48 GMT 2023","Mon Apr 24 22:57:58 GMT 2023","10342","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_pageNumber",""
